name,field,dbValue,jsonValue,status
スカイピース,race_record,0戦0勝,53戦7勝,戦績が異なります
バジルフレイバー,race_record,0戦0勝,42戦1勝,戦績が異なります
シップスログの24,race_record,0戦0勝,undefined戦undefined勝,戦績が異なります
タケオソルトムーン,race_record,0戦0勝,undefined戦undefined勝,戦績が異なります
ブレスト,race_record,0戦0勝,13戦1勝,戦績が異なります
スフレ,race_record,0戦0勝,14戦0勝,戦績が異なります
ディーノサンライズ,race_record,0戦0勝,25戦1勝,戦績が異なります
ベント,race_record,0戦0勝,20戦2勝,戦績が異なります
アイクルムズ,race_record,0戦0勝,1戦0勝,戦績が異なります
フルールドゥリュン,race_record,0戦0勝,6戦1勝,戦績が異なります
グラブビクトリー,race_record,0戦0勝,12戦1勝,戦績が異なります
マサハヤアン,race_record,0戦0勝,67戦7勝,戦績が異なります
