ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
2623,ツルギトイシヅチ,牡,4,リーチザクラウン,504,2026-02-26,0,2887000,0,0.0,https://auction.keiba.rakuten.co.jp/item/15716,骨折,
2545,ドリームデュネット,牝,16,ディープインパクト,,2026-02-05,0,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15637,,○
864,コタツデミカン,牡,4,キンシャサノキセキ,475,2025-04-17,990000,6895000,0,-696.5,https://auction.keiba.rakuten.co.jp/item/14012,跛行,
2036,ナムラヒマワリ,牝,1,ヴァンゴッホ,467,2024-10-24,990000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13203,打撲,
1055,ペグー,牡,3,バゴ,495,2025-05-29,990000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14205,,
2079,リックスター,牝,4,エピファネイア,456,2024-10-31,990000,10700000,0,-1080.8,https://auction.keiba.rakuten.co.jp/item/13246,ゆう癖 / 挫跖,
1350,タドウリョク,牝,2,シャンハイボビー,444,2024-12-19,990000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13505,,
1870,クリノアイオライト,牡,2,アスカクリチャン,422,2024-09-19,990000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13034,,
1392,ゴームズ,牝,2,モーニン,450,2024-12-26,980000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13547,,
543,アルデヤーノ,牡,3,イスラボニータ,476,2025-08-14,980000,720000,0,-73.5,https://auction.keiba.rakuten.co.jp/item/14681,,
793,アクデニズ,牡,3,ミッキースワロー,470,2025-09-11,980000,720000,0,-73.5,https://auction.keiba.rakuten.co.jp/item/14940,旋回癖,
1989,ベアサクシード,牡,3,シルバーステート,468,2024-10-10,980000,9030000,0,-921.4,https://auction.keiba.rakuten.co.jp/item/13156,屈腱炎 / 脚部不安,
828,ジーティースピカ,牝,4,シャンハイボビー,470,2025-09-14,980000,2684000,0,-273.9,https://auction.keiba.rakuten.co.jp/item/14975,繋靭帯炎,
1264,グレイトレッグ,牡,3,ウインブライト,444,2025-07-10,980000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14417,旋回癖,
2159,クリノセノーテ,牡,2,シルバーステート,563,2024-11-14,980000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13327,,
2007,モモクリサン,牝,2,イスラボニータ,403,2024-10-17,970000,530000,0,-54.6,https://auction.keiba.rakuten.co.jp/item/13174,,
1238,ルナティックアイ,牡,3,ロジャーバローズ,430,2025-07-03,970000,1960000,0,-202.1,https://auction.keiba.rakuten.co.jp/item/14391,さく癖 / 屈腱炎,
1294,レターフロムパリ,牝,4,タリスマニック,462,2025-07-10,970000,2288000,0,-235.9,https://auction.keiba.rakuten.co.jp/item/14448,,
330,フェールブリエ,牡,4,バンブーエール,436,2025-10-02,970000,9880000,0,-1018.6,https://auction.keiba.rakuten.co.jp/item/15073,骨瘤,
1068,バウンドトゥウィン,牝,4,フェノーメノ,422,2025-05-29,960000,3895000,0,-405.7,https://auction.keiba.rakuten.co.jp/item/14219,さく癖,
1950,ミカヅキ,牝,4,ルーラーシップ,484,2024-10-03,960000,4518000,0,-470.6,https://auction.keiba.rakuten.co.jp/item/13115,,
1169,アクシノス,セ,4,ゴールドシップ,464,2025-06-19,960000,4815000,0,-501.6,https://auction.keiba.rakuten.co.jp/item/14322,,
1629,キリマンジャロ,牡,3,バンドワゴン,494,2025-03-06,960000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13787,脚部不安 / 跛行,
358,メイショウタザワコ,牝,3,ラブリーデイ,422,2025-10-05,960000,720000,0,-75.0,https://auction.keiba.rakuten.co.jp/item/15101,,
2382,エイシンマクルーベ,牝,3,ワンアンドオンリー,410,2025-12-25,960000,840000,0,-87.5,https://auction.keiba.rakuten.co.jp/item/15476,ゆう癖 / 跛行,
2631,ウインマグノリア,牡,4,サトノダイヤモンド,455,2026-02-26,960000,2390000,0,-249.0,https://auction.keiba.rakuten.co.jp/item/15723,,
311,プレストバローズ,セ,6,ドレフォン,543,2025-09-25,960000,9364000,0,-975.4,https://auction.keiba.rakuten.co.jp/item/15054,,
1287,クリダーム,牡,5,ハーツクライ,502,2025-07-10,9520000,39667000,0,-416.7,https://auction.keiba.rakuten.co.jp/item/14441,,
1086,アイガー,牝,3,サンダースノー,465,2025-06-05,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14237,,
823,プリンスドール,牡,3,レイデオロ,496,2025-09-14,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14970,,
1929,クリノイコライザー,セ,7,プリサイスエンド,460,2024-09-26,950000,21965000,0,-2312.1,https://auction.keiba.rakuten.co.jp/item/13094,鼻出血,
2615,エンゼルランプ,牝,3,ダノンプレミアム,442,2026-02-26,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15708,打撲,
1317,ムコリッタ,牝,3,カリフォルニアクローム,402,2025-07-17,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14472,,
951,パレスアンバー,牡,2,モーニン,448,2025-05-08,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14100,,
1040,ラフォンターナ,牡,4,アルアイン,538,2025-05-25,950000,3200000,0,-336.8,https://auction.keiba.rakuten.co.jp/item/14190,蟻洞 / 跛行,
2298,オッフェンバック,牡,2,ブリックスアンドモルタル,446,2024-12-12,950000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13468,疝痛,
2365,マッティーナ,牡,5,ビッグアーサー,544,2025-12-25,950000,8305000,0,-874.2,https://auction.keiba.rakuten.co.jp/item/15451,,
2263,レガシーオブエリザ,牝,3,スワーヴリチャード,449,2024-11-28,950000,4850000,0,-510.5,https://auction.keiba.rakuten.co.jp/item/13432,骨折 / 骨片,
2610,セクシーコマンドー,牡,6,ビーチパトロール,470,2026-02-19,940000,11780000,0,-1253.2,https://auction.keiba.rakuten.co.jp/item/15698,跛行,
1836,ダイユウグラフ,牝,3,シルバーステート,478,2024-09-12,940000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13000,,
