テストケース,レスポンスタイム(ms),ステータスコード,キャッシュヒット
初回アクセス,220,308,false
初回アクセス,122,308,false
初回アクセス,140,308,false
キャッシュヒット,205,308,true
キャッシュヒット,161,308,true
キャッシュヒット,138,308,true
キャッシュヒット,152,308,true
キャッシュヒット,167,308,true
ソート_price_desc,141,308,true
ソート_price_desc,148,308,true
ソート_price_asc,249,308,true
ソート_price_asc,189,308,true
ソート_name_asc,188,308,true
ソート_name_asc,155,308,true
ソート_name_desc,137,308,true
ソート_name_desc,154,308,true
ページ_0,157,308,true
ページ_0,135,308,true
ページ_1,201,308,true
ページ_1,136,308,true
ページ_2,123,308,true
ページ_2,135,308,true
