テストケース,レスポンスタイム(ms),ステータスコード,キャッシュヒット
初回アクセス,2177,200,false
初回アクセス,320,200,false
初回アクセス,324,200,false
キャッシュヒット,539,200,true
キャッシュヒット,309,200,true
キャッシュヒット,315,200,true
キャッシュヒット,331,200,true
キャッシュヒット,320,200,true
ソート_price_desc,321,200,true
ソート_price_desc,304,200,true
ソート_price_asc,426,200,true
ソート_price_asc,325,200,true
ソート_name_asc,350,200,true
ソート_name_asc,327,200,true
ソート_name_desc,346,200,true
ソート_name_desc,313,200,true
ページ_0,311,200,true
ページ_0,309,200,true
ページ_1,382,200,true
ページ_1,337,200,true
ページ_2,359,200,true
ページ_2,313,200,true
